,CustomerID,no_bills,sum_bill,no_item,Recency,Recency_min,no_item_per_bill,Average_bill,summ_bill_log,Average_bill_log,Recency_int,month_interval,no_of_visit_per_month,Country
0,12346.0,1,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,1.0,77183.6,11.253942278212147,11.253942278212147,1.0,0.0,0.0,United Kingdom
1,12347.0,7,4310.0,182,2011-12-07 15:52:00,2010-12-07 14:57:00,26.0,615.7142857142857,8.368693183097793,6.42278303404248,12.0,12.166666666666666,1.738095238095238,Iceland
2,12348.0,4,1437.24,27,2011-09-25 13:13:00,2010-12-16 19:09:00,6.75,359.31,7.270479886747416,5.884185525627525,9.0,9.4,2.35,Finland
3,12349.0,1,1457.55,72,2011-11-21 09:51:00,2011-11-21 09:51:00,72.0,1457.55,7.284512222953557,7.284512222953557,11.0,0.0,0.0,Italy
4,12350.0,1,294.4,16,2011-02-02 16:01:00,2011-02-02 16:01:00,16.0,294.4,5.684939386854721,5.684939386854721,2.0,0.0,0.0,Norway
5,12352.0,7,1385.74,77,2011-11-03 14:37:00,2011-02-16 12:33:00,11.0,197.96285714285713,7.233989571965019,5.288079422909705,11.0,8.666666666666666,1.238095238095238,Norway
6,12353.0,1,89.0,4,2011-05-19 17:47:00,2011-05-19 17:47:00,4.0,89.0,4.48863636973214,4.48863636973214,5.0,0.0,0.0,Bahrain
7,12354.0,1,1079.4,58,2011-04-21 13:11:00,2011-04-21 13:11:00,58.0,1079.4,6.984160610184542,6.984160610184542,4.0,0.0,0.0,Spain
8,12355.0,1,459.4,13,2011-05-09 13:49:00,2011-05-09 13:49:00,13.0,459.4,6.129921290254998,6.129921290254998,5.0,0.0,0.0,Bahrain
9,12356.0,3,2487.43,58,2011-11-17 08:40:00,2011-01-18 09:50:00,19.333333333333332,829.1433333333333,7.819005327933273,6.720393039265163,11.0,10.066666666666666,3.3555555555555556,Portugal
10,12357.0,1,6207.67,131,2011-11-06 16:07:00,2011-11-06 16:07:00,131.0,6207.67,8.733540903233665,8.733540903233665,11.0,0.0,0.0,Switzerland
11,12358.0,2,928.0600000000001,17,2011-12-08 10:26:00,2011-07-12 10:04:00,8.5,464.03000000000003,6.833096385868559,6.139949205308613,12.0,4.966666666666667,2.4833333333333334,Austria
12,12359.0,4,6372.58,248,2011-10-13 12:47:00,2011-01-12 12:43:00,62.0,1593.145,8.759759690114192,7.373465328994302,10.0,9.133333333333333,2.283333333333333,Cyprus
13,12360.0,3,2302.06,126,2011-10-18 15:22:00,2011-05-23 09:43:00,42.0,767.3533333333334,7.741559653234081,6.642947364565971,10.0,4.933333333333334,1.6444444444444446,Austria
14,12361.0,1,174.9,9,2011-02-25 13:51:00,2011-02-25 13:51:00,9.0,174.9,5.164214382024556,5.164214382024556,2.0,0.0,0.0,Belgium
15,12362.0,10,4737.23,256,2011-12-06 15:40:00,2011-02-17 10:30:00,25.6,473.72299999999996,8.463207855682139,6.160622762688093,12.0,9.733333333333333,0.9733333333333333,Belgium
16,12363.0,2,552.0,23,2011-08-22 10:18:00,2011-04-11 13:29:00,11.5,276.0,6.313548046277095,5.62040086571715,8.0,4.4,2.2,Unspecified
17,12364.0,4,1208.1,81,2011-12-02 10:22:00,2011-08-19 15:24:00,20.25,302.025,7.096804156525518,5.710509795405628,12.0,3.466666666666667,0.8666666666666667,Belgium
18,12365.0,1,320.69,21,2011-02-21 13:51:00,2011-02-21 13:51:00,21.0,320.69,5.770474924423112,5.770474924423112,2.0,0.0,0.0,Cyprus
19,12367.0,1,150.9,10,2011-12-05 16:48:00,2011-12-05 16:48:00,10.0,150.9,5.016617365773803,5.016617365773803,12.0,0.0,0.0,Denmark
20,12370.0,4,3425.69,166,2011-10-19 14:51:00,2010-12-14 12:58:00,41.5,856.4225,8.139058190260029,6.752763829140139,10.0,10.3,2.575,Cyprus
